Date_Tableau,Date_PB,Date_Exp,Weekday,Weekend,Weekend2,Saturday,Sunday,Value
26-Aug-18,26-08-2018,2018-08-26,1,1,2,0,1,15263.84338
27-Aug-18,27-08-2018,2018-08-27,2,0,0,0,0,14007.8024
28-Aug-18,28-08-2018,2018-08-28,3,0,0,0,0,10079.14942
29-Aug-18,29-08-2018,2018-08-29,4,0,0,0,0,9866.68403
30-Aug-18,30-08-2018,2018-08-30,5,0,0,0,0,12288.03829
31-Aug-18,31-08-2018,2018-08-31,6,0,0,0,0,14595.92438
1-Sep-18,01-09-2018,2018-09-01,7,1,1,1,0,10776.16448
2-Sep-18,02-09-2018,2018-09-02,1,1,2,0,1,19060.95667
3-Sep-18,03-09-2018,2018-09-03,2,0,0,0,0,16344.40226
4-Sep-18,04-09-2018,2018-09-04,3,0,0,0,0,10670.20537
5-Sep-18,05-09-2018,2018-09-05,4,0,0,0,0,10521.76246
6-Sep-18,06-09-2018,2018-09-06,5,0,0,0,0,10280.92612
7-Sep-18,07-09-2018,2018-09-07,6,0,0,0,0,9009.74178
8-Sep-18,08-09-2018,2018-09-08,7,1,1,1,0,7221.27922
9-Sep-18,09-09-2018,2018-09-09,1,1,2,0,1,14729.75963
10-Sep-18,10-09-2018,2018-09-10,2,0,0,0,0,11775.02773
11-Sep-18,11-09-2018,2018-09-11,3,0,0,0,0,13739.41249
12-Sep-18,12-09-2018,2018-09-12,4,0,0,0,0,11799.25562
13-Sep-18,13-09-2018,2018-09-13,5,0,0,0,0,13043.51942
14-Sep-18,14-09-2018,2018-09-14,6,0,0,0,0,11899.91331
15-Sep-18,15-09-2018,2018-09-15,7,1,1,1,0,10557.24654
16-Sep-18,16-09-2018,2018-09-16,1,1,2,0,1,12646.04832
17-Sep-18,17-09-2018,2018-09-17,2,0,0,0,0,9862.6351
18-Sep-18,18-09-2018,2018-09-18,3,0,0,0,0,7148.21957
19-Sep-18,19-09-2018,2018-09-19,4,0,0,0,0,13037.90059
20-Sep-18,20-09-2018,2018-09-20,5,0,0,0,0,11676.34544
21-Sep-18,21-09-2018,2018-09-21,6,0,0,0,0,12476.63609
22-Sep-18,22-09-2018,2018-09-22,7,1,1,1,0,14022.83725
23-Sep-18,23-09-2018,2018-09-23,1,1,2,0,1,18582.79124
24-Sep-18,24-09-2018,2018-09-24,2,0,0,0,0,9252.45866
25-Sep-18,25-09-2018,2018-09-25,3,0,0,0,0,8035.03727
26-Sep-18,26-09-2018,2018-09-26,4,0,0,0,0,9198.24983
27-Sep-18,27-09-2018,2018-09-27,5,0,0,0,0,8840.35335
28-Sep-18,28-09-2018,2018-09-28,6,0,0,0,0,11700.53133
29-Sep-18,29-09-2018,2018-09-29,7,1,1,1,0,13639.4069
30-Sep-18,30-09-2018,2018-09-30,1,1,2,0,1,12958.64841
1-Oct-18,01-10-2018,2018-10-01,2,0,0,0,0,6414.87101
2-Oct-18,02-10-2018,2018-10-02,3,0,0,0,0,8360.28557
3-Oct-18,03-10-2018,2018-10-03,4,0,0,0,0,9799.49752
4-Oct-18,04-10-2018,2018-10-04,5,0,0,0,0,7530.99587
5-Oct-18,05-10-2018,2018-10-05,6,0,0,0,0,7178.12779
6-Oct-18,06-10-2018,2018-10-06,7,1,1,1,0,6613.62263
7-Oct-18,07-10-2018,2018-10-07,1,1,2,0,1,16271.07597
8-Oct-18,08-10-2018,2018-10-08,2,0,0,0,0,12087.17946
9-Oct-18,09-10-2018,2018-10-09,3,0,0,0,0,9292.2844
10-Oct-18,10-10-2018,2018-10-10,4,0,0,0,0,8331.08212
11-Oct-18,11-10-2018,2018-10-11,5,0,0,0,0,9329.49635
12-Oct-18,12-10-2018,2018-10-12,6,0,0,0,0,11983.12926
13-Oct-18,13-10-2018,2018-10-13,7,1,1,1,0,8968.88667
14-Oct-18,14-10-2018,2018-10-14,1,1,2,0,1,15451.55951
15-Oct-18,15-10-2018,2018-10-15,2,0,0,0,0,10644.34061
16-Oct-18,16-10-2018,2018-10-16,3,0,0,0,0,7913.62286
17-Oct-18,17-10-2018,2018-10-17,4,0,0,0,0,10562.14582
18-Oct-18,18-10-2018,2018-10-18,5,0,0,0,0,12811.48359
19-Oct-18,19-10-2018,2018-10-19,6,0,0,0,0,12712.81141
